Name of Stock,End of Year Book Value,End of Year Fair Market Value
3I GROUP PLC,"8,100,694","8,100,694"
ABERDEEN ASIA PACIFIC INCOME F,"521,282","521,282"
ABERDEEN ASIAN INCOME FUND LTD,"12,286,084","12,286,084"
ABERDEEN EMERGING MARKETS INVE,"22,922,592","22,922,592"
ABERDEEN JAPAN INVESTMENT TRUS,"528,366","528,366"
ABERDEEN NEW DAWN INVESTMENT T,"16,721,620","16,721,620"
ABERDEEN NEW THAI INVESTMENT T,"6,974,412","6,974,412"
ABERDEEN TOTAL DYNAMIC DIVIDEN,"7,520,863","7,520,863"
ACERINOX SA,"1,931,696","1,931,696"
ADEKA CORP,"18,316,141","18,316,141"
ADIDAS AG,"7,966,050","7,966,050"
AEON DELIGHT CO LTD,"2,664,017","2,664,017"
AGORA INC ADR,"3,108,308","3,108,308"
AIRBUS SE,"5,116,827","5,116,827"
ALFA S.A.B. A,"22,654,405","22,654,405"
ALIBABA GROUP HOLDING LTD,"84,689,876","84,689,876"
ALLIANCE TRUST PLC,"4,417,616","4,417,616"
ALLIANZGI DIVIDEND INTEREST +,"928,296","928,296"
ALPHABET INC CL C,"39,054,661","39,054,661"
AMADA CO LTD,"35,913,175","35,913,175"
AMBEV SA ADR,"53,176,668","53,176,668"
AMERICA MOVIL SPN ADR CL L,"41,546,727","41,546,727"
AMERIPRISE FINANCIAL INC,"2,953,816","2,953,816"
AMOREPACIFIC CORP,"43,036,800","43,036,800"
ANDRITZ AG,"1,106,386","1,106,386"
ANHEUSER BUSCH INBEV SA/NV,"6,153,367","6,153,367"
ANTHEM INC,"2,729,265","2,729,265"
ARCELORMITTAL,"5,203,392","5,203,392"
ARIAKE JAPAN CO LTD,"26,131,164","26,131,164"
ASICS CORP,"60,733,808","60,733,808"
ASSA ABLOY AB B,"9,330,971","9,330,971"
ATLANTIS JAPAN GROWTH FUND LTD,"1,640,854","1,640,854"
AVI GLOBAL TRUST PLC,"3,452,980","3,452,980"
AXA SA,"5,603,707","5,603,707"
BAE SYSTEMS PLC,"3,517,026","3,517,026"
BAILLIE GIFFORD EUROPEAN GROWT,"5,921,975","5,921,975"
BANDAI NAMCO HOLDINGS INC,"43,499,607","43,499,607"
BANK OF IRELAND GROUP PLC,"3,434,270","3,434,270"
BARCLAYS PLC,"9,966,439","9,966,439"
BASF SE,"7,397,599","7,397,599"
BEIJING NEW BUILDING MATER A,"47,428,017","47,428,017"
BID CORP LTD,"24,800,897","24,800,897"
BILIBILI INC SPONSORED ADR,"23,144,400","23,144,400"
BLACKROCK CORE BOND TRUST,"744,274","744,274"
BLACKROCK ENHANCED GOVERNMENT,"54,456","54,456"
BLACKROCK FRONTIERS INVESTMENT,"13,024,317","13,024,317"
BLACKROCK LATIN AMERICAN INVES,"10,781,779","10,781,779"
BLACKROCK MUNICIPAL 2030 TARGE,"703,350","703,350"
BLACKROCK MUNIYIELD QUALITY FU,"140,625","140,625"
BLACKROCK SMALLER COS TRUST PL,"356,298","356,298"
BNP PARIBAS,"8,128,514","8,128,514"
BOSKALIS WESTMINSTER,"2,144,170","2,144,170"
BRANDYWINEGLOBAL GLOBAL INCOME,"1,291,578","1,291,578"
BRIDGESTONE CORP,"4,936,127","4,936,127"
BROADCOM INC,"2,276,820","2,276,820"
BUCHER INDUSTRIES AG REG,"51,777,952","51,777,952"
CALEDONIA INVESTMENTS PLC,"3,016,505","3,016,505"
CANON MARKETING JAPAN INC,"29,070,173","29,070,173"
CARLSBERG AS B,"4,205,375","4,205,375"
CARNIVAL PLC,"1,271,521","1,271,521"
CATERPILLAR INC,"2,049,701,191","2,049,701,191"
CHEVRON CORP,"1,646,775","1,646,775"
CHINA EVERBRIGHT ENVIRONMENT,"18,641,062","18,641,062"
CHINA FUND INC/THE,"15,289,310","15,289,310"
CHINA MEIDONG AUTO HOLDINGS,"38,205,888","38,205,888"
CHINA MERCHANTS SHEKOU IND A,"22,249,010","22,249,010"
CHINA YOUZAN LTD,"15,578,651","15,578,651"
CHUGOKU MARINE PAINTS LTD,"15,610,410","15,610,410"
CIE FINANCIERE RICHEMO A REG,"12,999,785","12,999,785"
CINEWORLD GROUP PLC,"56,886","56,886"
CITIZEN WATCH CO LTD,"9,112,306","9,112,306"
CK HUTCHISON HOLDIN UNSP ADR,"2,943,621","2,943,621"
CLOSE BROTHERS GROUP PLC,"1,136,006","1,136,006"
COCA COLA EUROPEAN PARTNERS,"2,755,001","2,755,001"
COCA COLA FEMSA SAB SP ADR,"286,498,546","286,498,546"
COLOPLAST B,"11,576,030","11,576,030"
COMMERCIAL INTERNATIONAL BAN,"32,862,292","32,862,292"
CONCORDIA FINANCIAL GROUP LT,"20,568,066","20,568,066"
CONTROLADORA NEMAK SAB DE CV,"4,127,576","4,127,576"
CP ALL PCL FOREIGN,"22,829,100","22,829,100"
CROWN CASTLE INTL CORP,"848,944,351","848,944,351"
CVS HEALTH CORP,"2,629,550","2,629,550"
DAIFUKU CO LTD,"9,973,674","9,973,674"
DAILY MAIL+GENERAL TST A NV,"770,189","770,189"
DAIWA HOUSE INDUSTRY CO LTD,"11,428,606","11,428,606"
DAIWABO HOLDINGS CO LTD,"20,299,230","20,299,230"
DANSKE BANK A/S,"578,024","578,024"
DCC PLC,"3,660,562","3,660,562"
DEMANT A/S,"5,823,956","5,823,956"
DENSO CORP,"28,517,797","28,517,797"
DEVRO PLC,"697,759","697,759"
DISCO CORP,"45,438,036","45,438,036"
DOLLAR TREE INC,"2,106,780","2,106,780"
DONGFENG MOTOR GRP CO LTD H,"43,468,388","43,468,388"
DOUBLELINE INCOME SOLUTIONS FU,"116,358","116,358"
DS SMITH PLC,"4,094,139","4,094,139"
EAST JAPAN RAILWAY CO,"40,725,163","40,725,163"
EASYJET PLC,"2,497,343","2,497,343"
EATON VANCE 2021 TARGET TERM T,"51,195","51,195"
EATON VANCE MUNICIPAL BOND FUN,"213,275","213,275"
EATON VANCE TAX ADVANTAGED GLO,"129,344","129,344"
ECOLAB INC,"944,719,929","944,719,929"
EDINBURGH INVESTMENT TRUST PLC,"831,342","831,342"
ELLERSTON ASIAN INVESTMENTS LT,"3,854,291","3,854,291"
ENTAIN PLC,"6,309,726","6,309,726"
ESSILORLUXOTTICA,"7,679,119","7,679,119"
EUROMONEY INSTL INVESTOR PLC,"981,840","981,840"
EUROPEAN OPPORTUNITIES TRUST P,"1,287,077","1,287,077"
EXPERIAN PLC,"5,799,936","5,799,936"
F+C INVESTMENT TRUST PLC,"3,112,946","3,112,946"
FEDEX CORP,"785,350,240","785,350,240"
FIDELITY CHINA SPECIAL SITUATI,"49,982,812","49,982,812"
FIDELITY JAPAN TRUST PLC,"2,241,558","2,241,558"
FIRST TRUST SENIOR FLOATING RA,"50,299","50,299"
FLUTTER ENTERTAINMENT PLC,"14,088,506","14,088,506"
FONDUL PROPRIETATEA SA/FUND,"3,596,626","3,596,626"
FRONTIER EMERGING MARKETS FUND,"3,385,311","3,385,311"
FUJI MEDIA HOLDINGS INC,"58,080,682","58,080,682"
FUJI SEAL INTERNATIONAL INC,"27,719,546","27,719,546"
FUKUOKA FINANCIAL GROUP INC,"4,630,214","4,630,214"
GABELLI DIVIDEND + INCOME TRUS,"342,394","342,394"
GEA GROUP AG,"839,607","839,607"
GENESIS EMERGING MARKETS FUND,"77,145,682","77,145,682"
GESTAMP AUTOMOCION SA,"1,597,792","1,597,792"
GETLINK SE,"3,040,577","3,040,577"
GLENCORE PLC,"5,701,416","5,701,416"
GOLDMAN SACHS GROUP INC,"2,907,403","2,907,403"
GRUPO BIMBO SAB SERIES A,"15,681,384","15,681,384"
GRUPO TELEVISA SAB SER CPO,"7,886,979","7,886,979"
GUNZE LTD,"5,620,340","5,620,340"
HAIER SMART HOME CO LTD A,"43,466,997","43,466,997"
HAKUHODO DY HOLDINGS INC,"11,580,948","11,580,948"
